SITE_NAME,SITE_ID,PROGRAM_NAME,BASE_EVENT_ID,TYPE,PUBLIC_REG_OPEN_DATE
"THE WESTERN SPORTS MALL",3353,"2016 Winter - Men's Open Wednesday",73346,LEAGUE,"2015-11-18 00:00:00"
"THE WESTERN SPORTS MALL",3353,"Winter  - 2016 Little Dribbler Soccer - Wednesday",71047,LEAGUE,"2015-12-02 00:00:00"
"THE WESTERN SPORTS MALL",3353,"Winter - 2016 Lollipop  Soccer - Wednesday",74781,LEAGUE,"2015-12-02 00:00:00"
"Vancouver Minor Baseball",6634,"Mosquito Fall Tournament - Unwin Park (Newton)",74174,TOURNAMENT,"2015-11-23 00:00:00"
"Volitude Sport & Adventure Club",2566,"2nd Annual Copa Navidad Holiday Classic Beach Soccer Tournament",74137,TOURNAMENT,"2015-11-24 00:00:00"
"Volitude Sport & Adventure Club",2566,"Free Play",74605,EVENT,"2015-11-30 00:00:00"
"Weymouth JBL",2396,"3 v 3 Test",74390,TOURNAMENT,"2015-11-23 00:00:00"
"Wilmington Cornhole Association",5591,"Thursday Winter Cornhole Blind Draw/Singles at Minquas ",74319,LEAGUE,"2015-11-24 00:00:00"
"Wilmington Cornhole Association",5591,"Thursday Winter Cornhole League at Minquas (Doubles/Teams) ",74320,LEAGUE,"2015-11-24 00:00:00"
"Wolfpack Lacrosse Club",7634,"Lynchburg 7v7",74191,CLUBTEAM,"2015-11-24 00:00:00"
www.directkix.com,1567,"Calabasas Wednesday League - Winter 2015 - 16",73845,LEAGUE,"2015-11-20 00:00:00"
